Year, Tag, Value
2012, ACCOUNTSPAYABLECURRENT, 0.8676470588235294
2012, LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS, 0.10504201680672269
2012, REVENUES, 0.453781512605042
2012, PROPERTYPLANTANDEQUIPMENTGROSS, 0.6092436974789915
2012, ACCUMULATEDDEPRECIATIONDEPLETIONANDAMORTIZATIONPROPERTYPLANTANDEQUIPMENT, 0.6554621848739496
2012, DEBTCURRENT, 0.10504201680672269
2012, INCOMELOSSFROMCONTINUINGOPERATIONSINCLUDINGPORTIONATTRIBUTABLETONONCONTROLLINGINTEREST, 0.08403361344537816
2012, NETCASHPROVIDEDBYUSEDINOPERATINGACTIVITIESCONTINUINGOPERATIONS, 0.18277310924369747
2012, NETCASHPROVIDEDBYUSEDINCONTINUINGOPERATIONS, 0.09453781512605042
2013, NUMACCOUNTS, 1.0
2013, ASSETSCURRENT, 0.9833333333333333
2013, LIABILITIESCURRENT, 0.9833333333333333
2013, ACCOUNTSRECEIVABLENETCURRENT, 0.8854166666666666
2013, ACCOUNTSPAYABLECURRENT, 0.8833333333333333
2013, ASSETS, 1.0
2013, LIABILITIESANDSTOCKHOLDERSEQUITY, 0.9979166666666667
2013, LIABILITIES, 0.7645833333333333
2013, LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS, 0.11875
2013, PROPERTYPLANTANDEQUIPMENTNET, 0.99375
2013, NETCASHPROVIDEDBYUSEDINOPERATINGACTIVITIES, 0.85
2013, COSTOFGOODSSOLD, 0.32083333333333336
2013, COSTOFSERVICES, 0.29583333333333334
2013, REVENUES, 0.5020833333333333
2013, SALESREVENUESERVICESNET, 0.2875
2013, SALESREVENUEGOODSNET, 0.24583333333333332
2013, GROSSPROFIT, 0.7854166666666667
2013, OPERATINGINCOMELOSS, 0.9541666666666667
2013, INCOMETAXEXPENSEBENEFIT, 0.96875
2013, NETINCOMELOSS, 0.8916666666666667
2013, PROPERTYPLANTANDEQUIPMENTGROSS, 0.95625
2013, ACCUMULATEDDEPRECIATIONDEPLETIONANDAMORTIZATIONPROPERTYPLANTANDEQUIPMENT, 0.9791666666666666
2013, PAYMENTSTOACQUIREPROPERTYPLANTANDEQUIPMENT, 0.8375
2013, EARNINGSPERSHAREBASIC, 0.86875
2013, EARNINGSPERSHAREDILUTED, 0.86875
2013, INVENTORYNET, 0.5833333333333334
2013, COSTOFGOODSANDSERVICESSOLD, 0.27708333333333335
2013, SALESREVENUENET, 0.5104166666666666
2013, INCOMELOSSFROMCONTINUINGOPERATIONSINCLUDINGPORTIONATTRIBUTABLETONONCONTROLLINGINTEREST, 0.0625
2013, DEBTCURRENT, 0.09791666666666667
2013, NETCASHPROVIDEDBYUSEDINOPERATINGACTIVITIESCONTINUINGOPERATIONS, 0.19375
2013, NETCASHPROVIDEDBYUSEDINCONTINUINGOPERATIONS, 0.1
2014, NUMACCOUNTS, 1.0
2014, ASSETSCURRENT, 0.9845132743362832
2014, LIABILITIESCURRENT, 0.9823008849557522
2014, ACCOUNTSRECEIVABLENETCURRENT, 0.8893805309734514
2014, ACCOUNTSPAYABLECURRENT, 0.8849557522123894
2014, ASSETS, 1.0
2014, LIABILITIESANDSTOCKHOLDERSEQUITY, 1.0
2014, LIABILITIES, 0.7699115044247787
2014, LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS, 0.13274336283185842
2014, PROPERTYPLANTANDEQUIPMENTNET, 0.9889380530973452
2014, NETCASHPROVIDEDBYUSEDINOPERATINGACTIVITIES, 0.7765486725663717
2014, COSTOFGOODSSOLD, 0.3053097345132743
2014, COSTOFSERVICES, 0.2920353982300885
2014, REVENUES, 0.5663716814159292
2014, SALESREVENUESERVICESNET, 0.2942477876106195
2014, SALESREVENUEGOODSNET, 0.23008849557522124
2014, GROSSPROFIT, 0.7876106194690266
2014, OPERATINGINCOMELOSS, 0.9579646017699115
2014, INCOMETAXEXPENSEBENEFIT, 0.9867256637168141
2014, NETINCOMELOSS, 0.9048672566371682
2014, PROPERTYPLANTANDEQUIPMENTGROSS, 0.9579646017699115
2014, ACCUMULATEDDEPRECIATIONDEPLETIONANDAMORTIZATIONPROPERTYPLANTANDEQUIPMENT, 0.9756637168141593
2014, PAYMENTSTOACQUIREPROPERTYPLANTANDEQUIPMENT, 0.8473451327433629
2014, EARNINGSPERSHAREBASIC, 0.8495575221238938
2014, EARNINGSPERSHAREDILUTED, 0.8517699115044248
2014, INVENTORYNET, 0.5486725663716814
2014, COSTOFGOODSANDSERVICESSOLD, 0.23893805309734514
2014, SALESREVENUENET, 0.4756637168141593
2014, NETCASHPROVIDEDBYUSEDINCONTINUINGOPERATIONS, 0.09513274336283185
2014, NETCASHPROVIDEDBYUSEDINOPERATINGACTIVITIESCONTINUINGOPERATIONS, 0.2676991150442478
2014, INCOMELOSSFROMCONTINUINGOPERATIONSINCLUDINGPORTIONATTRIBUTABLETONONCONTROLLINGINTEREST, 0.06858407079646017
2014, DEBTCURRENT, 0.09734513274336283
